City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Tura,IN,25.5198,90.2201,57.34,88,44,3.38,scattered clouds
131,Pemangkat,ID,1.1667,108.9667,85.06,66,97,8.61,overcast clouds
132,Matara,LK,5.9485,80.5353,84.43,61,52,4.5,broken clouds
133,Mangan,IN,27.5167,88.5333,49.82,97,88,2.04,overcast clouds
134,Port Alfred,ZA,-33.5906,26.891,69.4,84,96,11.9,light rain
135,Svetlogorsk,BY,52.6333,29.7333,17.33,94,98,11.77,overcast clouds
136,Muli,MV,2.9167,73.5667,82.27,72,17,11.21,few clouds
137,Maltahohe,NA,-24.8333,16.9833,70.38,49,23,11.01,few clouds
138,Teguise,ES,29.0605,-13.564,61.02,63,0,9.22,clear sky
139,Hwange,ZW,-18.3693,26.5019,67.35,94,86,2.44,light rain
140,Sorong,ID,-0.8833,131.25,84.92,70,100,15.28,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,68.04,94,44,3.76,scattered clouds
142,Xinyu,CN,27.8043,114.9334,48.61,60,60,7.2,broken clouds
143,Ancud,CL,-41.8697,-73.8203,53.22,91,7,2.48,clear sky
144,Chokurdakh,RU,70.6333,147.9167,-31.58,100,22,1.45,few clouds
145,Te Anau,NZ,-45.4167,167.7167,63.18,43,3,5.77,clear sky
146,Hvide Sande,DK,56.0045,8.1294,41.0,82,67,29.12,broken clouds
147,Bandarbeyla,SO,9.4942,50.8122,75.47,66,0,6.53,clear sky
148,Lagoa,PT,39.05,-27.9833,57.56,82,84,21.54,broken clouds
149,Myitkyina,MM,25.3833,97.4,68.14,50,100,0.65,light rain
150,Adrar,MR,20.5022,-10.0711,60.76,13,0,9.22,clear sky
151,Burgeo,CA,47.6167,-57.6152,23.43,92,100,24.94,snow
152,Tinguindin,MX,19.75,-102.4833,54.73,37,0,3.87,clear sky
153,Merauke,ID,-8.4667,140.3333,85.21,72,61,11.9,broken clouds
154,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
155,Derzhavinsk,KZ,51.1,66.3167,15.93,75,100,12.97,overcast clouds
156,Dikson,RU,73.5069,80.5464,-2.38,91,100,5.44,overcast clouds
157,Geraldton,AU,-28.7667,114.6,111.61,7,0,5.75,clear sky
158,Ahipara,NZ,-35.1667,173.1667,71.02,98,95,13.18,moderate rain
159,Qaanaaq,GL,77.484,-69.3632,1.54,71,100,6.29,overcast clouds
160,Taltal,CL,-25.4,-70.4833,67.21,73,0,2.46,clear sky
161,Kahului,US,20.8947,-156.47,74.84,87,100,6.91,overcast clouds
162,Tuyen Quang,VN,21.8233,105.2181,60.76,60,100,1.77,overcast clouds
163,Lavrentiya,RU,65.5833,-171.0,-10.43,84,2,8.72,clear sky
164,Anahuac,MX,27.2333,-100.15,37.89,48,0,7.61,clear sky
165,Margate,GB,51.3813,1.3862,38.95,81,1,1.01,clear sky
166,Paamiut,GL,61.994,-49.6678,3.42,89,100,9.15,light snow
167,Dingle,PH,10.9995,122.6711,82.47,70,83,18.01,broken clouds
168,Ponta Do Sol,PT,32.6667,-17.1,65.71,71,84,4.88,broken clouds
169,Abu Samrah,SY,35.3029,37.1841,42.24,91,2,8.43,clear sky
170,Hilo,US,19.7297,-155.09,72.25,90,0,0.0,clear sky
171,Avarua,CK,-21.2078,-159.775,80.65,78,94,13.8,overcast clouds
172,Abha,SA,18.2164,42.5053,55.65,54,0,4.61,clear sky
173,Tuatapere,NZ,-46.1333,167.6833,59.83,57,18,9.06,few clouds
